SWI4_2,0.0045,0.0061,0.0085,0.0117,0.01,0.0162,0.0092,0.0085,0.0143,0.0159,0.0161,0.0115
SWI4_3,0.01,0.0093,0.0139,0.0134,0.0151,0.0171,0.008,0.0099,0.0173,0.0202,0.0197,0.0169
SWI5,0.0013,0,0.0008,0.0012,0,0.004,0.0218,0.0061,0.002,0.0013,0.0054,0.0096
SWI5_3,0.0001,0.0003,0.0002,0.0003,0.0001,0.0004,0.0016,0.0033,0.001,0.0002,0.0009,0.0034
SWI6,0.0675,0.0635,0.031,0.0695,0.0648,0.0876,0.074,0.0231,0.0937,0.0268,0.1072,0.0958
SWI6_2,0.0261,0.026,0.0319,0.0333,0.0288,0.0345,0.0335,0.0396,0.0458,0.0456,0.0484,0.036
TAF12,0.0962,0.0857,0.0917,0.1001,0.0804,0.105,0.1057,0.0936,0.1219,0.1024,0.1093,0.0929
TAF12_2,0.0238,0.0366,0.0589,0.079,0.0189,0.1089,0.0699,0.0507,0.0344,0.0841,0.0803,0.0855
TOS4,0.0049,0.0008,0.0056,0.0179,0.0354,0.0107,0.005,0.0031,0.0217,0.0117,0.0125,0.0033
TOS4_2,0.0001,0,0.0043,0.0204,0.0308,0.0093,0.0017,0.0027,0.0209,0.0137,0.0115,0.003
UME6,0.0014,0.0008,0,0.0015,0.0005,0.002,0.0032,0.0017,0,0.0014,0,0.0021
UME6_2,0.0087,0.0129,0.0183,0.0172,0.0156,0.0224,0.0209,0.0202,0.0273,0.0244,0.0272,0.0209
VPS9,0.0763,0.0573,0.0684,0.065,0.0586,0.0726,0.0776,0.069,0.0853,0.0709,0.0773,0.0643
VPS9_2,0.0562,0.0592,0.0832,0.0653,0.0695,0.0886,0.0723,0.0846,0.0953,0.0974,0.1032,0.0884
WHI5,0.0165,0.0051,0.0043,0.0113,0.008,0.0026,0.0084,0.0123,0.0129,0.0041,0.0122,0.0038
YHP1,0.0324,0.0111,0.0047,0.0075,0.0116,0.0143,0.0138,0.0146,0.047,0.0074,0.0053,0.0018
YHP1_2,0.0013,0.0002,0.002,0,0.0034,0.003,0.0013,0,0.0034,0,0.0027,0
YOX1,0.0004,0.0001,0.0006,0.002,0.0022,0.0007,0.0002,0.0003,0.0015,0.0012,0.001,0.0003
YOX1_2,0,0,0.003,0.0092,0,0,0,0,0.0026,0.0014,0,0
