# DLxJTK regulatory element scores computed on 2022-03-08 09:18:16
# pyDL file: /mnt/c/users/sophi/OneDrive/WIP/crypto/results/node_finding_20220308090355/pydl_results.tsv
# pyJTK file: /mnt/c/users/sophi/OneDrive/WIP/crypto/results/node_finding_20220308090355/pyjtk_results.tsv
	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
CNAG_03759	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_06672	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_01653	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_06432	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_06347	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_04206	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_06758	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_05939	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_00984	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_06666	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_02083	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_01464	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_05683	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_00085	0.366333	0.4873400124251862	1.1900284201002975e-05	1.1900284201002975e-05	1.377580133339847
CNAG_01316	0.379332	0.5046328384100551	1.1900284201002975e-05	1.1900284201002975e-05	1.529491482099516
CNAG_03152	0.012855000000000002	0.017101259945802774	0.00715476931376985	0.00715476931376985	1.8739403153841037
CNAG_04168	0.012859	0.017106581224665726	0.00715476931376985	0.00715476931376985	1.8756861863500627
CNAG_01572	0.10176	0.13537333427342593	0.0005842763650073882	0.0005842763650073882	1.9444324260479635
CNAG_05576	0.009925	0.013203423178692535	0.009490433598653623	0.009490433598653623	2.0007699362150544
CNAG_04322	0.000259	0.00034455280637595633	0.18189698446557426	0.18189698446557426	2.3198799516595714
CNAG_03856	0.002127	0.002829590035373201	0.045682192892512685	0.045682192892512685	2.430705288822547
CNAG_01477	0.091009	0.1210710670095344	0.0008200890291560615	0.0008200890291560615	2.4343880864097156
CNAG_05176	0.129363	0.17209414938692216	0.00041288822369205786	0.00041288822369205786	2.4632486048994537
CNAG_05550	0.07386000000000001	0.09825741420435573	0.0011420362653821491	0.0011420362653821491	2.496605183078557
CNAG_06759	2e-06	2.6606394314745663e-06	1.0	1.0	2.6606609268051793
CNAG_01735	2e-06	2.6606394314745663e-06	1.0	1.0	2.6606609268051793
CNAG_06102	2e-06	2.6606394314745663e-06	1.0	1.0	2.6606609268051793
CNAG_06745	0.008417000000000001	0.011197301047360709	0.012511323172989766	0.012511323172989766	2.789109210876348
CNAG_03447	0.415391	0.5526028370398258	1.8408027780551308e-05	1.8408027780551308e-05	3.1073856234853334
CNAG_01620	0.244196	0.3248587533041816	9.432073996906e-05	9.432073996906e-05	3.2624330464780553
