# pyDL periodicity scores computed on 2022-03-08 09:17:54
# Calculation time:  837.654523 seconds
# Input files:  /mnt/c/users/sophi/OneDrive/WIP/crypto/data/crypto_rnaseq_norm_trim.tsv
# Period(s) of oscillation tested:  60.0000, 70.0000, 80.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  1
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
CNAG_00043	70.0	0.17943819123047544	1.8699019857540082	0.859632	1.143585397878672	1e-06	1.0	1.143585397878672	1495569398859.8203
CNAG_00044	80.0	0.2713637195861454	2.003130530669537	0.269242	0.3581779409045376	1e-06	1.0	0.3581779409045376	45951566995.388504
CNAG_00045	60.0	0.22991702225840055	1.2750525762875433	0.533974	0.7103561398910999	1e-06	1.0	0.7103561398910999	358450929369.0674
CNAG_00046	60.0	0.20145898257338551	0.913569433115676	0.733289	0.9755088140332766	1e-06	1.0	0.9755088140332766	928313110232.1567
CNAG_00047	80.0	0.14822038407177815	1.4468306765259942	0.965677	1.2846591521340325	1e-06	1.0	1.2846591521340325	2120139528067.8818
CNAG_00048	80.0	0.10418231365253758	1.8478946811245738	0.999247	1.329317984991333	1e-06	1.0	1.329317984991333	2349023284901.636
CNAG_00049	80.0	0.20166817657276104	2.9797897167959357	0.731935	0.9737075611381684	1e-06	1.0	0.9737075611381684	923180281563.7146
CNAG_00050	70.0	0.13065750819345964	1.9143339580569019	0.989333	1.3161291953295136	1e-06	1.0	1.3161291953295136	2279797400944.0215
CNAG_00051	80.0	0.18857049107414697	1.6244136950042538	0.811795	1.0799468936369478	1e-06	1.0	1.0799468936369478	1259528518826.137
CNAG_00052	70.0	0.7018260406127353	5.412444740179545	0.00012	0.00015963836588847398	1e-06	1.0	0.00015963836588847398	163.7068188221004
CNAG_00053	80.0	0.44988996138113063	4.989732990838088	0.014038	0.01867502816951998	1e-06	1.0	0.01867502816951998	6531722.3296404155
CNAG_00054	80.0	0.2525582534259239	1.1382860905431251	0.378508	0.5035366549642876	1e-06	1.0	0.5035366549642876	127671928560.403
CNAG_00055	80.0	0.13091420968128814	1.5875079553786113	0.989136	1.3158671223455134	1e-06	1.0	1.3158671223455134	2278435785116.465
CNAG_00056	80.0	0.21914436657973121	2.387739343459948	0.611274	0.813189853917592	1e-06	1.0	0.813189853917592	537745698516.58844
CNAG_00057	80.0	0.7045203718818215	2.9987239154194025	9.8e-05	0.00013037133214225375	1e-06	1.0	0.00013037133214225375	132.58734509642895
CNAG_00058	80.0	0.08984082798581068	1.3855511472163833	0.999911	1.3302013172825824	1e-06	1.0	1.3302013172825824	2353709176049.085
CNAG_00059	70.0	0.21037132709971973	2.506936060107515	0.673255	0.8956444002187046	1e-06	1.0	0.8956444002187046	718468646386.1384
CNAG_00060	80.0	0.178170611924104	1.230469779297259	0.865602	1.1515274065816237	1e-06	1.0	1.1515274065816237	1526945716397.069
CNAG_00061	80.0	0.24579461238215156	1.1855768818630177	0.422859	0.5625376646769518	1e-06	1.0	0.5625376646769518	178015010589.06055
CNAG_00062	60.0	0.17256548055384047	0.5823772506167983	0.890664	1.1848678792974316	1e-06	1.0	1.1848678792974316	1663452953791.825
CNAG_00063	80.0	0.32323410372473915	4.090141736992158	0.094769	0.1260730691407066	1e-06	1.0	0.1260730691407066	2003986232.6566107
CNAG_00064	80.0	0.13816104846521537	1.5014905809206527	0.981783	1.306085281475697	1e-06	1.0	1.306085281475697	2228000556044.815
