# pyJTK periodicity scores computed on 2022-03-08 09:17:55
# Calculation time: 0.001135 seconds
# Input file: /mnt/c/users/sophi/OneDrive/WIP/crypto/data/crypto_rnaseq_norm_trim.tsv
# Period(s) of oscillation tested: 60.0000, 70.0000, 80.0000
probe	p-value	amp	period	lag	tau
CNAG_00173	1.0	2.4959999999999996	70.95238095238095	32.13095238095238	-67.0
CNAG_00174	1.0	3.0015000000000005	70.95238095238095	35.607142857142854	-53.0
CNAG_00175	1.0	4.3035	70.95238095238095	42.226190476190474	-30.0
CNAG_00176	1.0	149.76225	70.95238095238095	35.94047619047619	-49.0
CNAG_00177	0.07384724087003963	1.15125	70.0	42.75	131.0
CNAG_00178	1.0	1.3065000000000007	70.95238095238095	29.273809523809526	-93.0
CNAG_00179	0.0011420362653821493	6.777000000000001	70.0	22.75	-161.0
CNAG_00180	1.0	74.82600000000002	70.95238095238095	32.226190476190474	-41.0
CNAG_00181	1.0	8.950499999999998	70.95238095238095	31.13095238095238	-65.0
CNAG_00182	1.0	30.951750000000004	70.95238095238095	36.75	-85.0
CNAG_00183	1.0	74.23199999999997	70.95238095238095	24.416666666666668	-47.0
CNAG_00184	1.0	16.367249999999995	70.95238095238095	30.94047619047619	-87.0
CNAG_00185	1.0	65.0535	70.95238095238095	31.511904761904763	-51.0
CNAG_00186	1.0	14.539500000000007	70.95238095238095	25.607142857142858	-69.0
CNAG_00187	0.5067877175337508	3.9217499999999994	80.0	67.75	113.0
CNAG_00188	1.0	16.268250000000002	70.95238095238095	37.51190476190476	-81.0
CNAG_00189	0.4164366890620728	11.480999999999995	70.0	42.75	115.0
CNAG_00190	1.0	5.424750000000003	70.95238095238095	49.273809523809526	-17.0
CNAG_00191	1.0	7.827749999999998	70.95238095238095	25.702380952380953	-55.0
CNAG_00192	1.0	1.7339999999999995	70.95238095238095	51.035714285714285	-13.0
CNAG_00193	1.0	17.81925000000001	70.95238095238095	38.845238095238095	-21.0
CNAG_00194	0.021360371022838665	75.51825	70.0	57.75	141.0
CNAG_00195	0.8914012606101419	20.877749999999992	70.0	60.75	107.0
CNAG_00229	0.4164366890620728	1.10325	70.0	12.75	-115.0
CNAG_00231	1.0	3.5902499999999993	70.95238095238095	35.55952380952381	-59.0
CNAG_00232	1.0	1516.0125000000003	70.95238095238095	25.702380952380953	-89.0
CNAG_00233	1.0	128.62124999999992	70.95238095238095	31.273809523809526	-67.0
CNAG_00234	1.0	5.213249999999995	70.95238095238095	43.55952380952381	-59.0
CNAG_00235	1.0	5.69925	70.95238095238095	37.416666666666664	-25.0
CNAG_00236	0.2776437018849706	21.344250000000002	70.0	42.75	119.0
CNAG_00237	1.0	200.08949999999996	70.95238095238095	46.17857142857143	-35.0
CNAG_00238	1.0	193.29149999999998	70.95238095238095	30.035714285714285	-57.0
CNAG_00239	0.05823088090004787	0.9884999999999997	80.0	69.75	133.0
CNAG_00240	1.0	1.315500000000001	70.95238095238095	43.654761904761905	-29.0
CNAG_00241	1.0	6.6000000000000005	70.95238095238095	41.98809523809524	-59.0
CNAG_00242	1.0	0.21299999999999986	70.95238095238095	22.55952380952381	-68.0
CNAG_00243	0.8914012606101419	4.860750000000001	70.0	37.75	107.0
CNAG_00246	1.0	3.309750000000003	70.95238095238095	38.226190476190474	-31.0
CNAG_00247	1.0	6.727499999999999	70.95238095238095	22.75	-65.0
CNAG_00248	0.005359873975059848	1.257750000000001	70.0	37.75	151.0
CNAG_00249	1.0	1.3170000000000002	70.95238095238095	34.17857142857143	-105.0
CNAG_00250	0.5067877175337508	65.31300000000002	75.0	37.75	-113.0
CNAG_00251	0.5067877175337508	0.40274999999999994	70.0	7.75	-113.0
CNAG_00252	0.005359873975059848	6.949499999999999	80.0	27.75	-151.0
CNAG_00253	1.0	4.8855	70.95238095238095	32.79761904761905	-69.0
CNAG_00254	0.4164366890620728	12.41175	80.0	72.75	115.0
CNAG_00255	1.0	35.79675	70.95238095238095	35.55952380952381	-21.0
CNAG_00256	1.0	90.87225000000001	70.95238095238095	38.654761904761905	-31.0
CNAG_00257	0.021360371022838665	4.3447499999999994	80.0	62.75	141.0
CNAG_00258	0.0931842481503503	2.5275000000000007	70.0	25.25	-129.0
CNAG_00259	1.0	35.106000000000016	70.95238095238095	35.98809523809524	-59.0
CNAG_00260	1.0	16.12275000000001	70.95238095238095	38.892857142857146	-81.0
CNAG_00261	1.0	224.13899999999998	70.95238095238095	24.273809523809526	-41.0
CNAG_00262	1.0	3.069750000000001	70.95238095238095	25.94047619047619	-53.0
CNAG_00263	1.0	1.9544999999999986	70.95238095238095	34.273809523809526	-73.0
CNAG_00264	1.0	27.09825	70.95238095238095	32.226190476190474	-49.0
CNAG_00265	1.0	276.37649999999996	70.95238095238095	21.321428571428573	-43.0
CNAG_00266	1.0	7.053	70.95238095238095	47.464285714285715	-27.0
CNAG_00267	1.0	6.092250000000001	70.95238095238095	37.51190476190476	-51.0
CNAG_00268	1.0	185.53275000000005	70.95238095238095	31.702380952380953	-75.0
CNAG_00269	1.0	1.2014999999999996	70.95238095238095	23.988095238095237	-79.0
CNAG_00270	1.0	302.36325000000005	70.95238095238095	25.464285714285715	-71.0
CNAG_00271	0.4164366890620728	6.8054999999999986	70.0	12.75	-115.0
CNAG_00272	1.0	3.2527500000000025	70.95238095238095	35.55952380952381	-105.0
CNAG_00273	0.00398915965652886	7.226250000000004	70.0	32.75	-153.0
CNAG_00274	0.012511323172989766	6.422249999999999	70.0	35.25	-145.0
CNAG_00275	1.0	11.634	70.95238095238095	30.083333333333332	-49.0
CNAG_00276	1.0	4.48875	70.95238095238095	28.702380952380953	-45.0
CNAG_00277	0.04568219289251269	5.773499999999995	70.0	32.75	-135.0
CNAG_00278	0.4164366890620728	8.621250000000003	70.0	37.75	115.0
CNAG_00279	1.0	181.91250000000005	70.95238095238095	35.70238095238095	-41.0
CNAG_00280	1.0	45.01875000000007	70.95238095238095	36.035714285714285	-91.0
CNAG_00283	1.0	14.024250000000002	70.95238095238095	22.654761904761905	-43.0
CNAG_00284	1.0	0.9360000000000008	70.95238095238095	35.79761904761905	-57.0
CNAG_00285	1.0	1.4467499999999989	70.95238095238095	39.226190476190474	-23.0
CNAG_00286	1.0	10.242749999999987	70.95238095238095	44.98809523809524	-51.0
CNAG_00287	1.0	79.86899999999997	70.95238095238095	43.083333333333336	-45.0
CNAG_00288	1.0	10.540500000000002	70.95238095238095	37.51190476190476	-102.0
CNAG_00289	1.0	27.667500000000004	70.95238095238095	41.083333333333336	-27.0
CNAG_00290	1.0	7.121250000000003	70.95238095238095	39.13095238095238	-103.0
CNAG_00291	1.0	9.482999999999993	70.95238095238095	34.17857142857143	-71.0
CNAG_00292	1.0	127.76624999999997	70.95238095238095	32.845238095238095	-61.0
CNAG_00293	0.012511323172989766	26.559749999999966	80.0	30.25	-145.0
CNAG_00294	1.0	1.7805000000000017	70.95238095238095	30.36904761904762	-51.0
CNAG_00295	1.0	0.0794999999999999	70.95238095238095	33.75	-60.0
CNAG_00299	0.03565001790208913	4.475250000000002	70.0	2.75	-137.0
CNAG_00300	0.012511323172989766	6.091500000000003	70.0	17.75	-145.0
CNAG_00301	1.0	25.09125000000001	70.95238095238095	29.988095238095237	-91.0
CNAG_00302	1.0	23.24325	70.95238095238095	24.178571428571427	-47.0
CNAG_00303	1.0	1.2667500000000007	70.95238095238095	31.988095238095237	-71.0
CNAG_00304	1.0	7.5862500000000015	70.95238095238095	29.13095238095238	-63.0
CNAG_00305	1.0	228.1155	70.95238095238095	44.98809523809524	-35.0
CNAG_00306	1.0	15.641249999999998	70.95238095238095	47.94047619047619	-75.0
CNAG_00307	1.0	158.35424999999992	70.95238095238095	32.36904761904762	-81.0
CNAG_00308	1.0	23.795999999999996	70.95238095238095	41.75	-53.0
CNAG_00309	1.0	6.47325	70.95238095238095	43.32142857142857	-55.0
CNAG_00310	0.07384724087003963	11.436000000000003	70.0	32.75	-131.0
CNAG_00311	1.0	278.24174999999997	70.95238095238095	20.75	-67.0
CNAG_00312	1.0	2.6107500000000012	70.95238095238095	28.55952380952381	-80.0
CNAG_00313	0.3407601255807152	1.6934999999999993	70.0	37.75	117.0
CNAG_00314	0.14623145653648356	1.5915	70.0	20.25	-125.0
CNAG_00315	1.0	13.341749999999998	70.95238095238095	30.94047619047619	-87.0
CNAG_00316	0.07384724087003963	11.881500000000031	80.0	67.75	131.0
CNAG_00317	1.0	1.8284999999999991	70.95238095238095	43.607142857142854	-31.0
CNAG_00318	1.0	64.1805	70.95238095238095	47.464285714285715	-13.0
CNAG_00319	1.0	33.03750000000001	70.95238095238095	36.55952380952381	-21.0
CNAG_00320	0.0015782932322102184	7.5104999999999995	70.0	32.75	-159.0
CNAG_00321	0.2252303955977127	0.6322500000000003	80.0	27.75	-121.0
CNAG_00322	1.0	6.844499999999998	70.95238095238095	36.75	-77.0
CNAG_00323	1.0	0.5752500000000003	70.95238095238095	28.892857142857142	-38.0
CNAG_00326	0.012511323172989766	16.689000000000007	80.0	67.75	145.0
CNAG_00327	0.016395354260898914	11.603249999999997	70.0	32.75	-143.0
CNAG_00328	1.0	3.3232500000000007	70.95238095238095	37.75	-41.0
CNAG_00329	1.0	56.35275	70.95238095238095	49.51190476190476	-11.0
CNAG_00330	1.0	2.1329999999999996	70.95238095238095	36.51190476190476	-31.0
CNAG_00331	1.0	0.83175	70.95238095238095	33.70238095238095	-49.0
CNAG_00332	1.0	2.4187499999999984	70.95238095238095	35.607142857142854	-79.0
CNAG_00333	1.0	4.971	70.95238095238095	39.98809523809524	-31.0
