time_points	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230
CNAG_00045	57.0575	15.9503	16.5293	39.6298	54.9103	48.6297	39.0221	60.3585	83.0521	101.591	86.1495	87.2136	109.196	84.886	81.8663	81.1343	102.406	106.961	123.018	120.078	68.1259	84.362	98.1348	105.465
CNAG_00046	3484.33	1301.04	1549.62	1719.38	1533.1	1720.8	2113.52	1976.98	1905	2260.6	2978.75	3351.26	3172.8	3224.7	2996.66	3310.75	2915.45	2949.17	3193.77	3212.53	3395.08	3245.07	3023.24	2907.6
CNAG_00047	605.12	70.6817	46.833	74.1862	63.696	68.5558	76.9896	61.4415	92.3521	92.4657	101.327	130.82	123.369	118.866	101.119	122.883	91.1881	126.438	104.585	129.979	126.766	120.97	130.846	94.9943
CNAG_00048	115.099	15.9503	22.039	60.0839	43.9283	37.5775	18.9837	14.8249	20.5067	28.3722	35.2009	37.1465	27.2991	34.8976	33.3529	22.8436	32.7698	42.7843	35.148	37.4014	35.3565	39.3689	35.2941	36.9128
CNAG_00049	409.969	111.642	167.479	378.125	249.174	169.837	111.5	79.0069	95.9028	132.22	152.559	177.886	173.706	149	133.315	160.203	158.084	184.413	214.517	214.944	224.443	208.349	186.64	200.391
CNAG_00050	395.723	213.061	103.876	162.63	136.296	193.781	166.928	173.016	206.571	208.247	242.061	197.617	267.759	223.555	219.418	279.34	224.913	194.812	210.958	224.031	251.576	230.333	259.271	259.438
CNAG_00051	436.791	899.491	413.403	805.38	941.163	1342.84	1877.28	1988.65	1854.78	1607.26	1178.06	1198.38	1312.96	1323.47	1358.01	1112.56	1119.28	1111.08	1083.17	1132.94	1231.74	1168.32	1301.91	1298.6
CNAG_00052	5211.9	759.341	14.9807	3.83514	0	1.10522	1.05465	3.17676	6.20595	22.7716	51.1951	58.142	34.0549	35.6496	66.0592	122.576	144.408	124.804	196.028	137.722	66.102	135.54	234.673	275.996
CNAG_00053	50.3604	38.155	194.141	901.194	643.524	254.195	120.212	31.7218	25.1491	107.796	318.52	439.208	252.542	192.273	165.683	231.296	330.596	409.223	420.719	378.852	262.968	232.126	252.095	311.845
CNAG_00054	728.77	59.8254	4.21053	2.62206	1.12344	2.2168	1.07322	2.16368	13.8136	16.6756	12.1832	5.7427	6.40922	9.56722	9.16747	9.74347	12.4629	5.97975	18.6305	9.92629	7.8112	10.649	14.7627	23.5339
CNAG_00055	690.593	738.271	1268.62	1617.15	1982.26	1801.51	2005.95	1927.24	1716.41	1751.76	1695.2	1775.77	1782.24	1717.53	1702.01	1419.46	1566.81	1607.33	1604.78	1522.63	1432.37	1472.58	1323.96	1327.81
CNAG_00056	339.394	103.677	143.254	438.485	567.773	611.187	530.49	399.213	482.933	588.495	632.689	726.78	686.377	694.179	593.278	604.963	540.702	582.45	636.363	629.919	595.023	618.654	559.54	531.545
CNAG_00057	72874.2	30163.2	1479.37	80.538	40.6337	53.0506	104.411	237.198	709.532	1097.36	1427.49	1634.45	1496.77	1882.58	2028.47	2332.41	2251.9	2312.3	2434.46	2435.03	2253.33	2585.23	3685.22	4495.98
CNAG_00058	10423.8	10706.1	14691.8	9488.15	9752.08	9985.68	11186.7	11052	9271.08	10754.9	12116.5	13476.1	12695.6	14668.3	12719.6	11030.3	10378.8	10382	10616.5	11485.2	11667.6	11450.7	11740	11659.2
CNAG_00059	100.343	299.638	128.102	108.662	94.4458	207.782	176.127	176.84	180.459	145.522	110.234	125.168	103.737	127.329	99.0481	126.822	106.502	111.823	95.2695	116.141	108.656	117.169	102.439	102.301
CNAG_00060	377.76	852.202	349.87	322.152	425.006	706.236	855.323	995.386	942.283	763.304	628.984	586.269	712.116	736.622	718.604	726.27	648.229	635.931	623.414	568.896	571.74	643.026	625.824	587.441
CNAG_00061	25766.4	30142.7	15238.6	6026.29	12575.6	17748.7	22592.8	24019.5	27143.7	26362.4	19533.7	23264.2	31766	36629.3	39883	25214.7	34410.4	33092.7	31963.4	34184.9	32061.4	33950.1	34231.8	31423.4
CNAG_00062	5396.85	2580.53	2322.36	1888.17	2363.34	2672.43	3351.68	3434.08	3434.87	3746.96	4172.23	4805.63	4757.84	5035.63	4586.53	4494.68	3636.43	3593.88	3883.85	4211.6	4380.75	4291.21	4120.8	3964.44
CNAG_00063	67.8788	311.031	201.106	217.325	612.799	1211.32	1404.8	1057.86	602.897	415.516	351.082	421.533	670.778	768.69	686.262	672.706	386.07	406.451	532.769	643.698	664.012	657.086	510.473	431.353
CNAG_00064	1801.25	1437.81	1772.77	1466.3	880.762	857.652	939.695	797.367	818.217	1141.3	1344.12	1153.16	1040.49	1085.6	1167.35	1368.26	1177.67	1137.67	1295.85	1278.54	1276.28	1257.93	1210.33	1158.01
CNAG_00065	3226.12	4167.27	4737.64	5525.7	8176.45	7169.37	7611.89	9001.48	9025.92	7466.68	6119.38	6160.49	7989.04	7592.88	7949.4	6522.32	8108.02	7949.09	7126.26	7466.82	7554.23	7510.55	7534.01	7425.27
CNAG_00066	2883.95	1097.46	467.702	389.369	804.682	1297.73	1276.72	1949.88	1797.52	1447.68	1199.62	1110.55	1046.96	1098.51	1232.76	1296.51	1022.48	957.834	1072.46	1091.22	1134.84	1178.73	1356.66	1317.8
CNAG_00067	4237.01	3981.88	7861.05	4659.7	3234.22	2965.31	2686.2	2940.62	2227.03	2935.15	3747.97	3592.72	3238.45	3021	3359.55	4369.44	3762.39	3519.01	3966.17	3824.79	3575.31	3411.04	3613.77	3552.07
CNAG_00068	1208.05	3052.2	2608.87	2082.48	1784.59	1448.95	1145.35	841.842	489.085	577.512	699.386	692.864	582.641	569.679	582.16	528.555	487.451	472.572	569.767	540.352	474.294	427.434	489.813	502.014
CNAG_00069	106.245	55.8261	31.6811	17.8973	8.78565	12.1574	12.6558	23.2963	16.4054	12.8133	15.7478	17.7657	14.8195	19.8067	17.1818	17.3297	17.409	18.4751	18.4989	18.7007	18.1094	15.935	7.74748	17.9291
CNAG_00070	220.36	344.071	290.64	407.804	479.916	654.291	664.431	566.523	568.035	552.801	402.031	356.93	424.306	409.339	422.471	389.13	391.19	441.456	342.23	365.156	400.132	421.81	395.982	400.768
CNAG_00072	8195.62	5453.86	2351.29	837.34	1322.24	1563.89	1740.18	1573.56	1706.16	2415.3	2851.27	3179.26	3270.43	3500.13	3561.69	3253.25	3269.82	3549.15	3758.98	3766.72	3630.51	3770.98	3414.92	3312.66
CNAG_00073	3167.68	723.46	1181.84	1284.77	1160.8	1391.47	1822.44	1948.41	2278.29	2267.95	2096.3	1964.73	2086.43	2198.55	2155.81	2419.06	2035.83	1923.35	2169	2109.24	2096.38	2051.87	2243.33	2050.24
CNAG_00074	4571.49	1554.02	2669.48	3920.8	3094.75	2000.45	1421.67	1003.86	1362.67	1897.28	2678.97	2509.81	2031.83	1971.24	1908.19	2527.77	2689.18	2912.25	3032.9	2937.98	2537.9	2567.42	2995.69	3179.78
CNAG_00075	1044.74	549.146	121.215	30.6812	3.29462	1.10522	3.16396	14.8249	68.6974	108.913	156.551	210.766	243.352	285.783	341.615	515.951	511.005	600.925	559.593	604.328	688.158	793.94	810.042	949.187
CNAG_00076	160.351	571.932	169.425	38.3514	46.1247	195.624	331.161	582.407	471.654	307.518	192.678	213.189	267.531	303.703	432.577	376.526	269.327	229.48	185.914	235.235	342.354	344.009	355.523	318.505
CNAG_00077	10934.4	13774.2	4020.75	2010.89	2512.7	3473.71	3937.02	3747.52	2876.06	2339.33	2110.2	2240.91	2250.23	2520.17	2325.61	1979.52	1474.64	1581.08	1720.4	2071.84	2047.23	2439.94	1937.73	1634.71
CNAG_00078	882.424	1174.63	1834.75	2780.48	2103.07	1387.05	1018.79	592.996	489.085	860.319	1250.56	1212.92	955.468	847.917	770.15	869.634	944.181	1039.46	1127.51	1074.8	901.159	835.183	833.285	914.383
CNAG_00079	667.966	15.9503	39.9458	222.438	214.15	155.836	102.301	77.3012	75.8748	135.454	206.573	203.498	226.192	165.056	161.711	165.419	209.932	223.645	208.113	172.243	164.709	160.288	158.393	188.783
CNAG_00080	32.4638	20.5075	13.7744	6.39191	6.58924	5.52611	13.7105	10.5892	20.5067	6.40663	11.1161	7.2678	14.0395	10.375	12.1283	13.3911	11.2646	11.6685	16.649	7.87399	22.4212	17.8097	11.1908	9.49187
CNAG_00081	1134.26	933.093	472.462	662.202	1026.82	1492.05	1627.33	1745.1	1660.02	1599.83	1485.85	1407.53	1691.76	1737.33	1721.21	1570.7	1445.97	1460.5	1543.74	1561.02	1611.74	1595.38	1807.75	1690.61
CNAG_00082	893.245	431.797	648.774	873.134	832.441	788.023	650.72	632.176	671.594	710.221	926.338	874.559	822.873	783.781	818.663	834.187	951.35	998.625	989.693	934.052	958.074	802.376	946.915	974.498
CNAG_00083	484.005	406.733	301.659	566.323	613.898	837.758	874.306	1034.57	944.333	898.758	764.229	706.592	850.172	806.417	841.909	879.874	702.504	686.494	738.107	710.627	725.239	757.383	822.094	779.388
CNAG_00084	2203.71	4416.85	5065.9	3966.99	4422.2	6422.58	8339.01	7909.09	5420.77	5291.02	5305.66	5867.16	5937.28	6475.84	6238.17	5373.88	4520.35	4523.78	4622.75	5041.7	5036.03	4891.76	4833.92	4438.93
CNAG_00085	129.75	1030.18	826.784	319.425	234.192	331.432	579.13	1052.55	1038.84	829.143	615.492	486.519	543.524	666.847	847.809	958.53	609.159	503.374	468.156	483.874	584.784	784.866	712.419	686.679
CNAG_00086	358.085	2415.33	2466.99	2336.88	2126.13	2884.63	3209.31	3051.81	2414.66	2099.54	1809.14	1679.67	1753.38	1753.37	1779.83	1651.04	1442.9	1585.94	1411.47	1463.58	1497.91	1436.97	1478.91	1323.59
CNAG_00087	1392.01	215.329	95.0433	219.882	404.14	486.297	506.233	558.051	720.81	717.542	841.115	817.224	914.13	991.28	871.219	953.131	761.899	807.068	912.922	883.855	863.215	927.982	1008.89	949.187
CNAG_00088	15022.8	10750.5	10866.6	5407.55	4533.4	4939.23	5516.88	5225.77	3946.51	4476.4	5848.9	6622.58	6113.44	6374	6230.94	6560.85	5999.95	5937.3	6419.13	6799.19	6791.03	6590.54	6470.87	6867.89
CNAG_00089	746.666	2196.58	2661.21	1555.79	1770.31	2353.02	2530.11	2092.43	1454.95	1322.51	1571.07	1573.08	1615.33	1626.98	1423.06	1424.18	1326.15	1198.93	1289.38	1322.83	1405.64	1357.29	1160.4	1163.28
CNAG_00090	511.55	252.926	462.82	1323.12	1272.82	810.127	635.955	437.334	397.83	574.766	983.771	1212.92	1020.99	1009.2	818.663	957.07	992.312	1142.54	1038.72	1009.84	963.248	867.991	890.1	1034.61
CNAG_00091	19086.7	77.4729	30.3037	7.67029	8.78565	12.1574	42.1861	386.506	1046.87	670.866	231.585	186.54	211.373	264.09	595.299	823.946	589.857	473.545	468.948	474.408	594.161	1119.2	1901.58	1882.55
CNAG_00092	4911.86	5640.71	11180.7	7855.65	6991.18	6262.18	6376.43	5819.83	5125.65	6221.75	7032.76	7451.11	6721.04	7000.27	7281.05	6706.58	7709.11	7421.14	7546.64	7296.23	6999.72	6944.86	6667.14	7136.83
CNAG_00093	2045.22	162.921	12.397	1.27838	9.88386	6.63133	14.7651	153.544	410.134	256.265	167.667	154.239	173.934	208.442	399.225	572.666	544.799	456.042	441.2	400.589	479.468	704.891	1124.25	1109.49
CNAG_00094	1278.28	1537.73	404.056	45.3043	97.8808	142.743	132.673	261.619	240.069	154.933	120.051	96.5255	113.817	123.287	162.539	154.645	188.88	125.519	157.413	155.581	163.58	209.317	232.331	194.568
CNAG_00095	316.375	2101.22	1276.42	1387.76	1673.53	2554	2336.27	2436.51	1793.17	1479.67	1403.78	1320.7	1092.8	1203.76	1122.05	1136.41	803.432	788.51	818.405	824.731	891.94	902.386	953.895	865.357
CNAG_00096	247.152	54.2619	69.923	273.115	307.148	271.836	223.058	237.544	313.703	342.409	393.578	351.117	339.272	297.135	273.882	328.366	346.834	302.247	307.203	316.443	279.02	308.621	286.284	283.873
CNAG_00097	839.892	320.57	667.007	794.333	400.097	238.776	203.022	141.549	186.66	210.392	288.207	269.069	224.649	184.829	220.347	186.797	239.951	216.999	216.317	239.658	191.824	225.671	202.669	219.196
CNAG_00098	688.625	328.12	81.269	21.7325	26.357	36.4723	28.4756	34.9444	44.0894	69.5577	102.824	102.557	159.895	193.351	181.925	211.107	205.836	238.231	308.007	316.928	301.824	312.139	291.822	268.936
